Year,Month,Product,Brand,Category,Region,Channel,Units,UnitPrice,Revenue,COGS,GrossProfit,NetProfit
2024,1,Pepsi,Pepsi,Beverages,UK & Ireland,Modern Trade,3854382,0.95,3661662.9,1773015.72,1888647.18,812118.29
2024,2,Pepsi,Pepsi,Beverages,UK & Ireland,Modern Trade,3776274,0.95,3587460.3,1737086.04,1850374.26,795660.93
2024,3,Pepsi,Pepsi,Beverages,UK & Ireland,Modern Trade,3987561,0.95,3788182.95,1834278.06,1953904.89,840179.1
2024,4,Pepsi,Pepsi,Beverages,UK & Ireland,Modern Trade,4407279,0.95,4186915.05,2027348.34,2159566.71,928613.69
2024,5,Pepsi,Pepsi,Beverages,UK & Ireland,Modern Trade,4430199,0.95,4208689.05,2037891.54,2170797.51,933442.93
2024,6,Pepsi,Pepsi,Beverages,UK & Ireland,Modern Trade,5067411,0.95,4814040.45,2331009.06,2483031.39,1067703.5
2024,7,Pepsi,Pepsi,Beverages,UK & Ireland,Modern Trade,5031816,0.95,4780225.2,2314635.36,2465589.84,1060203.63
2024,8,Pepsi,Pepsi,Beverages,UK & Ireland,Modern Trade,5683547,0.95,5399369.65,2614431.62,2784938.03,1197523.35
2024,9,Pepsi,Pepsi,Beverages,UK & Ireland,Modern Trade,5518856,0.95,5242913.2,2538673.76,2704239.44,1162822.96
2024,10,Pepsi,Pepsi,Beverages,UK & Ireland,Modern Trade,3709531,0.95,3524054.45,1706384.26,1817670.19,781598.18
2024,11,Pepsi,Pepsi,Beverages,UK & Ireland,Modern Trade,4057963,0.95,3855064.85,1866662.98,1988401.87,855012.8
2024,12,Pepsi,Pepsi,Beverages,UK & Ireland,Modern Trade,3596223,0.95,3416411.85,1654262.58,1762149.27,757724.19
2024,1,Pepsi,Pepsi,Beverages,UK & Ireland,Traditional Trade,2145112,0.921,1975648.15,986751.52,988896.63,425225.55
2024,2,Pepsi,Pepsi,Beverages,UK & Ireland,Traditional Trade,2279876,0.921,2099765.8,1048742.96,1051022.84,451939.82
2024,3,Pepsi,Pepsi,Beverages,UK & Ireland,Traditional Trade,2561808,0.921,2359425.17,1178431.68,1180993.49,507827.2
2024,4,Pepsi,Pepsi,Beverages,UK & Ireland,Traditional Trade,3637043,0.921,3349716.6,1673039.78,1676676.82,720971.03
2024,5,Pepsi,Pepsi,Beverages,UK & Ireland,Traditional Trade,3667898,0.921,3378134.06,1687233.08,1690900.98,727087.42
2024,6,Pepsi,Pepsi,Beverages,UK & Ireland,Traditional Trade,3264715,0.921,3006802.52,1501768.9,1505033.62,647164.46
2024,7,Pepsi,Pepsi,Beverages,UK & Ireland,Traditional Trade,3645065,0.921,3357104.87,1676729.9,1680374.97,722561.24
2024,8,Pepsi,Pepsi,Beverages,UK & Ireland,Traditional Trade,3606659,0.921,3321732.94,1659063.14,1662669.8,714948.01
2024,9,Pepsi,Pepsi,Beverages,UK & Ireland,Traditional Trade,2986728,0.921,2750776.49,1373894.88,1376881.61,592059.09
2024,10,Pepsi,Pepsi,Beverages,UK & Ireland,Traditional Trade,2443623,0.921,2250576.78,1124066.58,1126510.2,484399.39
2024,11,Pepsi,Pepsi,Beverages,UK & Ireland,Traditional Trade,2643324,0.921,2434501.4,1215929.04,1218572.36,523986.11
2024,12,Pepsi,Pepsi,Beverages,UK & Ireland,Traditional Trade,2766611,0.921,2548048.73,1272641.06,1275407.67,548425.3
2024,1,Pepsi,Pepsi,Beverages,UK & Ireland,E-commerce,1504453,1.007,1514984.17,692048.38,822935.79,353862.39
2024,2,Pepsi,Pepsi,Beverages,UK & Ireland,E-commerce,1576396,1.007,1587430.77,725142.16,862288.61,370784.1
2024,3,Pepsi,Pepsi,Beverages,UK & Ireland,E-commerce,1553381,1.007,1564254.67,714555.26,849699.41,365370.75
2024,4,Pepsi,Pepsi,Beverages,UK & Ireland,E-commerce,1663225,1.007,1674867.57,765083.5,909784.07,391207.15
2024,5,Pepsi,Pepsi,Beverages,UK & Ireland,E-commerce,2199923,1.007,2215322.46,1011964.58,1203357.88,517443.89
2024,6,Pepsi,Pepsi,Beverages,UK & Ireland,E-commerce,2278719,1.007,2294670.03,1048210.74,1246459.29,535977.49
2024,7,Pepsi,Pepsi,Beverages,UK & Ireland,E-commerce,2180631,1.007,2195895.42,1003090.26,1192805.16,512906.22
2024,8,Pepsi,Pepsi,Beverages,UK & Ireland,E-commerce,2522797,1.007,2540456.58,1160486.62,1379969.96,593387.08
2024,9,Pepsi,Pepsi,Beverages,UK & Ireland,E-commerce,2212274,1.007,2227759.92,1017646.04,1210113.88,520348.97
2024,10,Pepsi,Pepsi,Beverages,UK & Ireland,E-commerce,1763141,1.007,1775482.99,811044.86,964438.13,414708.4
2024,11,Pepsi,Pepsi,Beverages,UK & Ireland,E-commerce,1406892,1.007,1416740.24,647170.32,769569.92,330915.07
2024,12,Pepsi,Pepsi,Beverages,UK & Ireland,E-commerce,1911809,1.007,1925191.66,879432.14,1045759.52,449676.59
